ID,Story,Question,Label
3918,Z is sitting at the upper left position to M. Y is upper right to B. J is positioned right to G. B is directly north west of I. J is slightly off center to the top left and M is slightly off center to the bottom right. Y is lower left to G.,What is the relation of the agent Y to the agent I?,above
3919,V is positioned in the lower right corner of C. V and A are both there with the object V above the object A. N is over there and G is on the top of it. Y is to the left of A horizontally. R is at the bottom and Y is on the top. R is below G at 7 o'clock.,What is the relation of the agent G to the agent A?,overlap
3920,"R is diagonally above A to the left at a 45 degree angle. L and Z are horizontal and L is to the left of Z. Q is sitting at the 6:00 position to Z. C and R are parallel, and C is to the left of R. The object O is positioned below and to the right of the object L. C is south west of O.",What is the relation of the agent R to the agent L?,lower-right
3921,T is at the 3 o'clock position relative to U. U and O are horizontal and U is to the left of O. X is to the bottom-right of S. S is sitting at the upper right position to O. The object D is positioned below and to the left of the object P. T and D are both there with the object T is to the right of object D.,What is the relation of the agent S to the agent P?,left
3922,"The object P is positioned below and to the left of the object B. F is placed at the upper left of O. F is to the bottom left of J. B is diagonally left and below J. P and R are parallel, and R is below P. R and G are vertical and R is above G.",What is the relation of the agent R to the agent J?,lower-left
3923,"U is placed at the upper left of T. C is on the right side and top of R. X and T are side by side with X to the right and T to the left. Y is sitting at the 3:00 position to X. G and U are parallel, and U is below G. Y is on the top of C and is on the same vertical plane.",What is the relation of the agent T to the agent U?,lower-right
3924,"D is positioned above C and to the right. S is at a 45 degree angle to C, in the lower lefthand corner. J is under E. B is at a 45 degree angle to E, in the upper lefthand corner. S is below J and to the right of J. N is placed at the upper left of D.",What is the relation of the agent S to the agent J?,lower-right
3925,K is on the left side and above X. P and T are side by side with P to the right and T to the left. H and U are in a horizontal line with U on the right. K is slightly off center to the top left and T is slightly off center to the bottom right. P is sitting in the left direction of H. N is at the bottom of X vertically.,What is the relation of the agent H to the agent P?,right
3926,"R is slightly off center to the top left and W is slightly off center to the bottom right. F is lower right of C. M is below H at 4 o'clock. M and L are parallel, and M is over L. R is to the bottom left of H. L is on the same horizontal plane directly left to F.",What is the relation of the agent L to the agent M?,below
3927,V is on the top and O is at the bottom. K and V are in a vertical line with K on top. R is on the top and O is at the bottom. X is above B at 10 o'clock. B is positioned above R and to the left. X is slightly off center to the top left and F is slightly off center to the bottom right.,What is the relation of the agent B to the agent R?,upper-left
